Observation,TextUrn,Image,Comments
urn:cite:op:hmt12B.34,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@","urn:cite:hmt:vaimg.VA155RN-0327@0.6044,0.2144,0.0148,0.0147",beginning scholion mark
urn:cite:op:hmt12B.35,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ἀ","urn:cite:hmt:vaimg.VA155RN-0327@0.62,0.2153,0.0101,0.0098",
urn:cite:op:hmt12B.36,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@λ","urn:cite:hmt:vaimg.VA155RN-0327@0.6286,0.217,0.0079,0.0089",
urn:cite:op:hmt12B.37,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ί","urn:cite:hmt:vaimg.VA155RN-0327@0.6361,0.2131,0.0062,0.0113",
urn:cite:op:hmt12B.38,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@π","urn:cite:hmt:vaimg.VA155RN-0327@0.6415,0.2196,0.0072,0.0054",
urn:cite:op:hmt12B.39,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@λ[2]","urn:cite:hmt:vaimg.VA155RN-0327@0.6477,0.2187,0.0079,0.0061",
urn:cite:op:hmt12B.40,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ο","urn:cite:hmt:vaimg.VA155RN-0327@0.6536,0.2192,0.0052,0.0052",
urn:cite:op:hmt12B.41,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@α","urn:cite:hmt:vaimg.VA155RN-0327@0.6591,0.2176,0.0077,0.0071",
urn:cite:op:hmt12B.42,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@:","urn:cite:hmt:vaimg.VA155RN-0327@0.667,0.2179,0.0096,0.0078",
urn:cite:op:hmt12B.43,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@τ","urn:cite:hmt:vaimg.VA155RN-0327@0.6754,0.2189,0.0136,0.0076",
urn:cite:op:hmt12B.44,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ὴ","urn:cite:hmt:vaimg.VA155RN-0327@0.6864,0.2142,0.016,0.0107",
urn:cite:op:hmt12B.45,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ν","urn:cite:hmt:vaimg.VA155RN-0327@0.6937,0.2192,0.0081,0.0063",
urn:cite:op:hmt12B.46,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@λ[3]","urn:cite:hmt:vaimg.VA155RN-0327@0.7012,0.2187,0.0083,0.007",
urn:cite:op:hmt12B.47,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ῖ","urn:cite:hmt:vaimg.VA155RN-0327@0.7068,0.2168,0.0081,0.0078",
urn:cite:op:hmt12B.48,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@φ","urn:cite:hmt:vaimg.VA155RN-0327@0.7165,0.2136,0.0071,0.0144",
urn:cite:op:hmt12B.49,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@α[2]","urn:cite:hmt:vaimg.VA155RN-0327@0.7234,0.2198,0.0065,0.005",
urn:cite:op:hmt12B.50,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@σ","urn:cite:hmt:vaimg.VA155RN-0327@0.7295,0.219,0.0063,0.0064",
urn:cite:op:hmt12B.51,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@ὶ","urn:cite:hmt:vaimg.VA155RN-0327@0.7325,0.2139,0.0085,0.0116",
urn:cite:op:hmt12B.52,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@σ[2]","urn:cite:hmt:vaimg.VA155RN-0327@0.7398,0.2198,0.0081,0.0061",
urn:cite:op:hmt12B.53,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@υ","urn:cite:hmt:vaimg.VA155RN-0327@0.7467,0.2187,0.0063,0.0069",
urn:cite:op:hmt12B.54,"urn:cts:greekLit:tlg5026.msA.hmt:12.B1@λλ","urn:cite:hmt:vaimg.VA155RN-0327@0.7526,0.2183,0.0101,0.0076",λλ ligature
