Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.B1,"urn:cite:hmt:vaimg.VA155RN-0327@0.602,0.2111,0.1918,0.159",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B2,"urn:cite:hmt:vaimg.VA155RN-0327@0.612,0.3559,0.1739,0.0705",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B3,"urn:cite:hmt:vaimg.VA155RN-0327@0.5998,0.4232,0.1985,0.1647",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B4,"urn:cite:hmt:vaimg.VA155RN-0327@0.5942,0.5861,0.1935,0.0647",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B5,"urn:cite:hmt:vaimg.VA155RN-0327@0.1151,0.648,0.6713,0.0753",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B6,"urn:cite:hmt:vaimg.VA155RN-0327@0.3498,0.7079,0.4323,0.0165",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B7,"urn:cite:hmt:vaimg.VA155RN-0327@0.1149,0.7179,0.6812,0.0365",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B8,"urn:cite:hmt:vaimg.VA155RN-0327@0.1313,0.7385,0.6422,0.0259",urn:cite:hmt:msA.155r
urn:cts:greekLit:tlg5026.msA.hmt:12.B9,"urn:cite:hmt:vaimg.VA155RN-0327@0.1289,0.7567,0.639,0.0464",urn:cite:hmt:msA.155r
