urn:cts:greekLit:tlg5026.msA.hmt:1.14	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.14	urn:cite:hmt:pers.pers43
urn:cts:greekLit:tlg5026.msA.hmt:1.14	urn:cite:hmt:pers.pers43
urn:cts:greekLit:tlg5026.msA.hmt:1.14	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.15	urn:cite:hmt:pers.pers44
urn:cts:greekLit:tlg5026.msA.hmt:1.33	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.33	urn:cite:hmt:pers.pers44
urn:cts:greekLit:tlg5026.msA.hmt:1.34	urn:cite:hmt:pers.pers45
urn:cts:greekLit:tlg5026.msA.hmt:1.34	urn:cite:hmt:pers.pers7
urn:cts:greekLit:tlg5026.msA.hmt:1.35	urn:cite:hmt:pers.pers44
urn:cts:greekLit:tlg5026.msA.hmt:1.35	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers24
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers46
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers47
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers48
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers49
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers50
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers24
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers50
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers50
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers40
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers50
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers50
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers24
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers49
urn:cts:greekLit:tlg5026.msA.hmt:1.37	urn:cite:hmt:pers.pers51
urn:cts:greekLit:tlg5026.msA.hmt:1.38	urn:cite:hmt:pers.pers52
